ID,Card,Type,Stage / Rarity (trainer),Remaining Evo,Deck Feature Tier,Opener Archetype,Pressure,Wants,Possible CPU Deck Block?,Included in opp Deck?,Gated Until (promo only),,Feature Tier Key,
base1-48,Doduo,C,b,y,,a,,,,TRUE,,,SL,Status Lock - It takes your turns away
base1-49,Drowzee,P,b,y,,a,SL,Pound only used when Confuse Ray can't be,,TRUE,,,HT,Hand/Trainer Denial - Your outs stop arriving
base1-5,Clefairy,C,b,y,0.5,,SL,"Prefers to evolve on the bench. Sing is only a 25% chance to cost the opponent an attack and Metronome takes up a turn before the Copied Effect can be used, during which time Clefairy would likely die (if copying any move worthwhile).",,TRUE,,,WP,Wall/Prevention - Your damage stops landing
base1-50,Gastly,P,b,y,,,,"Sleeping gas only has a 25% chance to cost the opponent a turn, so this pokemon probably shouldn't be used at all. Destiny Bond does become useful if it's in the active spot and about to die, though it requires an energy funnel and any opponent (including the bot) should weigh the option of just not attacking for that turn, as Gastly would need another Energy Funneled in to try it again.",,TRUE,,,AP,Attrition/Recovery - It refuses to run out
base1-51,Koffing,G,b,y,,a,SL,Loves to open and wreaks havok when it does. Foul Gas guarantees one of two different status conditions,,TRUE,,,HD,High Damage - Hits you harder than you can absorb
base1-52,Machop,F,b,y,,e,,To open as a solid attacker. Low Kick deals high damage for low energy and Machop has high HP relative to other evolving basics,,TRUE,,,BG,Bench Growth - Your opponent is able to build up their reserves more quickly. Definition expanded to include drawing cards and skipping turns via quick evolution or extra energy attachments
base1-53,Magnemite,E,b,y,,e,"SL, HD, BD","Thunder Wave is primary and tries to paralyze, while Selfdestruct should be a Kamakaze Timer that also weighs the damage to both players' benches",,TRUE,,,,
base1-54,Metapod,G,1,y,,,SL,"Stun Spore is always preferred, and there are extremely few situations Stiffen is used due to the 50/50 damage block chance. For the same energy cost and same 50/50 chance, Stun Spore can cost a turn through paralysis while dealing 20 guaranteed damage",,TRUE,,,Order matters for pokemon with multiple pressures listed. The first has priority,
base1-55,Nidoran ♂,G,1,y,,a,,To open but its effectiveness depends on Coin Luck,,TRUE,,,,
base1-56,Onix,F,b,n,,t,,"Loves to open as a tank. Never powers up to Harden because it doesn't need it. Rock Throw is a good, cheap, steady 10 dmg to do each turn",,TRUE,,,,
base1-57,Pidgey,C,b,y,,,PC,"Likes the bench, but plays position control when it's forced to attack",,TRUE,,,Promo cards become available in *all* packs after the one it's gated until,
base1-58,Pikachu,E,b,y,,,,Thunder Jolt is the preferred attack but risks self-damage toward a low-HP pokemon. Prefers to evolve on the bench. There are about a thousand Pikachu variants and our autobuilder should prefer most of the others over this one.,,TRUE,,,Promo Card gate order contains judgement calls for balance and is not always released in order for us,
base1-59,Poliwag,W,b,y,,e,,"Wants to Over-Attach two energies for Water Gun while fighting, which puts in a good position for evolution",,TRUE,,,"Promo suffexes are for differentiation in the spreadsheet, not necessarily in-game",
base1-6,Gyarados,W,1,n,2.5,,SL,Magikarp kept safe enough to evolve,,TRUE,,,,
base1-60,Ponyta,R,b,y,,e,,An okay starter if Rapidash is in hand,,TRUE,,,Promo Suffix Key,
base1-61,Rattata,C,b,y,,,,,,TRUE,,,GP,General Promo release
base1-62,Sandshrew,F,b,y,,a,WP,,,TRUE,,,MS,Movie Stamp - Special visual stamp from movie release
base1-63,Squirtle,W,b,y,,e,SL,"Likes to open if its deck contains Blastoise, as it's a very good line to evolve while fighting at the start of a match",,TRUE,,,CH,Cosmos Holo - A special holo promo card
base1-64,Starmie,W,1,n,1.5,,SL,Recover needs an Energy Funnel and should be avoided. See Kadabra entry for more detail,,TRUE,,,,
base1-65,Staryu,W,b,y,,,,,,TRUE,,,,
base1-66,Tangela,G,b,n,,f,SL,"Poisonpowder first, Bind once poisoned or before it can be afforded. See Nidoking for reasoning",,TRUE,,,,
base1-67,Voltorb,E,b,y,,,,,,TRUE,,,"Ancient Mew, which is unnumbered and not part of any set, has been given a number and added to the Promo set by me. This might be done for some other unnumbered cards as well in the future",
base1-68,Vulpix,R,b,y,,e,SL,,,TRUE,,,"Per WotC rulings: Promo Cool Porygon *can* evolve (when Porygon2 is introduced), but the [adjective] Pikachu variants *cannot* evolve",
base1-69,Weedle,G,b,y,,a,SL,,,TRUE,,,"""Trevor's Pikachu"" was originally ""_____'s Pikachu"" that has variable attack damage based on its owner's birthday. Rather than building in a birthday system, I decided to use mine as a placeholder",
base1-7,Hitmonchan,F,b,n,0.5,a,,A stalling or opening role. Jab is the main one to power up. Special Punch is expensive and should only be powered up if the bench doesn't have better options. ,,TRUE,,,If you don't have stats for Ancient Mew I can provide them.,
base1-70,Clefairy Doll,T,r,,e,,,,y,FALSE,,,,
base1-71,Computer Search,T,r,,s,,,"To be used to find a needed evolution card, another basic if basics are in short supply or if its evolution is in hand, or whatever else might be most needed at the moment",,TRUE,,,,
base1-72,Devolution Spray,T,r,,r,,,,y,FALSE,,,,
base1-73,Impostor Professor Oak,T,r,,p,,,"To be used when its opponent has a lot of cards in their hand. It's disruptive in many cases, but this gets the largest effect",,TRUE,,,,
base1-74,Item Finder,T,r,,s,,,,,TRUE,,,,
base1-75,Lass,T,r,,p,,,A deck with relatively few trainer cards so the opponent is disproportionately affected,,TRUE,,,,
base1-76,Pokemon Breeder,T,r,,m,,,"A deck with many stage 2 cards, and preferably multiple stage 2 lines",,TRUE,,,,
base1-77,Pokemon Trader,T,r,,s,,,Same use case as Computer Search but a card is sent back to the deck rather than discarded,,TRUE,,,,
base1-78,Scoop Up,T,r,,m,,,"To rescue a high-HP basic pokemon, usually a tank like Snorlax or Chansey, after it has high damage. As a tank, there are usually few energy cards attached so not much is lost, and as a basic they can just be thrown back to the bench right away with now damage. This works great in combination with Alakazam's Pokemon Power loading up a tank on the bench with damage, scooping up the high damage pokemon, and then putting it right back on the bench to be loaded up again",,TRUE,,,,
base1-79,Super Energy Removal,T,r,,p,,,"Costs you a turn of tempo in exchange for costing the opponent two turns of tempo. Your own energy drop should be from a pokemon who needs it the least, and the opponent pokemon selected should be one where this would really cost it, usually the active one. DOES NOT want to be used on an opponent pokemon with only one energy because then you don't gain an advantage.",,TRUE,,,,
base1-8,Machamp,F,2,,3,,,A very standard card that our bot will do fine with. Strikes Back is more of a passive punishment for killing it that's hard to strategize for other than the nuisanse it is just by existing,,TRUE,,,,
base1-80,Defender,T,u,,p,,,"To be used only when the active pokemon expects to take damage on the next turn, and only damage that's survivable with the Defender attached. Defenders also block self-damage, so they can be used strategically there as well (our game does not block self-damage yet with Defender but it should). The best time to use it is when it would save a valuable active pokemon that would otherwise die. Should not be played just because it exists in the bot's hand.",,TRUE,,,,
base1-81,Energy Retrieval,T,u,,s,,,"To be in decks that require energy funnels, or in multi-type decks where a desired energy can be rescued from discard if running short",,TRUE,,,,
base1-82,Full Heal,T,u,,r,,,"To be in most decks, and save a pokemon from a missed turn from an opponent's status move. It especially loves decks with pokemon that apply status conditions to themselves, like Vileplume",,TRUE,,,,
base1-83,Maintenance,T,u,,d,,,Not a useful card. Autobuilder should avoid,,TRUE,,,,
base1-84,PlusPower,T,u,,p,,,"To be used strategically but not be held onto like it's in a vault. The best times are when your own pokemon would fall 10 damage short of knocking out the opponent, or when an additional 10 damage would result in 1 fewer turn to kill the opponent, as in a move doing 30 damage attacking a pokemon with 70 HP. The best practice there is to plant to hit for 30 on the first turn and use the PlusPower for 40 on the second turn. If you might not survive until the second turn, the PlusPower could probably be used early",,TRUE,,,,
base1-85,Pokemon Center,T,u,,h,,,,y,FALSE,,,,
base1-86,Pokemon Flute,T,u,,m,,,,y,FALSE,,,,
base1-87,Pokedex,T,u,,p,,,Best if the autobuilder avoids,,TRUE,,,,
base1-88,Professor Oak,T,u,,d,,,"To be played when either desperate for cards or when little of value would be lost by discarding its owner's hand. Consumables like Potion or PlusPower want to be used immediately before Professor Oak even if they're not needed, because they get discarded otherwise",,TRUE,,,,
base1-89,Revive,T,u,,m,,,"To be used to revive a tank, and not much else. Best if the autobuilder avoids",y,FALSE,,,,
base1-9,Magneton,E,1,n,2,,"SL, HD",The same logic as base1 Magnemite and other Kamakaze Timers. Thunder Wave is used as a status lock until that's needed,,TRUE,,,,
base1-90,Super Potion,T,u,,h,,,"To heal a moderate amount of damage at the cost of 1 tempo of energy. Should not be used to save a pokemon that it would prevent from powering up enough to attack, as that would just be stalling for no benefit",,TRUE,,,,
base1-91,Bill,T,c,,d,,,"To be used right away and exist in almost every deck. Weak decks have 1-2, stronger decks have 3-4",,TRUE,,,,
base1-92,Energy Removal,T,c,,p,,,"To be used liberally and strategically. Do not remove an energy just to remove an energy, do it to something that it would inconvenience by having to re-attach. The opponent's active pokemon usually makes for the best target, but something powerful on the bench could work as well. Denying the active pokemon forces the opponent to re-power that one instead of preparing the bench, might lead to the opponent taking an extra turn to attack, and might completely stop the opponent if he doesn't have any extra energies. After a pokemone is selected, if it has multiple energy types, DCE should be the first target and its own energy type (as in the hard requirements for its moves rather than the colorless extras) should be the second.",,TRUE,,,,
base1-93,Gust of Wind,T,c,,m,,,"To drag in a damaged bench pokemon to finish it off, preferably a strong one that could pose a menace. Bringing in a high damage pokemon from the bench with low HP can still lay a large hit on you before you have a turn to finish it off, and this card allows you to preempt that. It can also shift a dangerous pokemon out of the active spot and replace it with something else that doesn't have the energy to attack or retreat yet.",,TRUE,,,,
base1-94,Potion,T,c,,h,,,To not be used to heal only 10 damage unless that has the immediate potential to be life saving (and the pokemon is worth saving),,TRUE,,,,
base1-95,Switch,T,c,,m,,,"To retreat a high value pokemon without paying the retreat cost, or launch a sudden switch for a quick attack that the opponent wasn't expecting. Does not want to be used on a free-retreat cost pokemon and prefers heavier retreat costs to nullify. Should not be played just because it exists in the bot's hand",,TRUE,,,,
base1-96,DC Energy,Energy,,,,,,,,TRUE,,,,
base1-97,F Energy,Energy,,,,,,,,TRUE,,,,
base1-98,R Energy,Energy,,,,,,,,TRUE,,,,
base1-99,G Energy,Energy,,,,,,,,TRUE,,,,
base2-1,Clefable,C,1,n,2,,HD,"To never use Minimize. Metronome is a Copy Effects move that requires a Setup Turn to actually copy the target move, but the very low energy cost makes it worth it. It could potentially copy a Charizard's attack on the first turn (as long as the Charizard can't attack on its turn to kill it), and then use it against the Charizard on the next turn with only 1 energy and no discards. It just needs to survive long enough to copy and then use on separate turns. Hates coming in against cards with only weak attacks or ones that don't do damage at all",,TRUE,,,,
base2-10,Scyther,G,b,n,,,,"Swords Dance is a Setup Turn move that eats a turn in order to deal double damage with Slash on the next turn. This balances out to the same damage total each way, so best strategy is to only use Swords Dance at exactly 2 energies when a third can be attached for Slash on the next turn. Otherwise, it's better to deal the guaranteed Slash damage each turn",,TRUE,,,,
base2-11,Snorlax,C,b,n,1,t,WP,"To stall, not attack or retreat. It can't be affected by status conditions, making it a very effective tank. Its attack is decent for what it is, but shouldn't be powered up by the bot when preparing evolutions on the bench is available instead due to its high cost. It exists to eat damage, eat turns, and then die. Likes decks with Alakazam, because that allows it to eat the active pokemon's damage from the bench. Likes playing against Psychic type decks because it's resistant, making it the ultimate tank against those decks (applies to Chansey as well)",,TRUE,,,,
base2-12,Vaporeon,W,1,n,2,,,"Water Gun asks to Over-Attach two extra energies for extra damage, and should be seen as the primary attack. Quick Attack has two use cases: When Water Gun can't be afforded, and when Vaporeon is played in a non-water deck. The latter is viable because Quick Attack only requires Colorless energy, meaning it can be used in any deck if the user is okay never having access to Water Gun. Does well in multi-type decks with other Eevee-lutions.",,TRUE,,,,
base2-13,Venomoth,G,1,n,2,,SL,"To use its pokemon power to change its type to whatever the defending pokemon is weak to. This should happen at the first opportunity, as its attack is underwhelming even with its layered status chances without it. It probably shouldn't change its type arbitrarily though; if the opponent has no weakness it should just stay in its current type. But due to this type changing, its attack can be considered 20 dmg instead of 10 in most cases. Maybe the bot can calculate damage ahead of time by assuming Venomoth is already whatever the defender is weak to, as it will be by the time it attacks. ",,TRUE,,,,
base2-14,Victreebel,G,2,,2,,"SL, PC",Acid is the primary attack but its retreat-blocking ability has too limited of a use-case to train the bot to account for it. Lure follows the same logic as it does with Ninetales,,TRUE,,,,
base2-15,Vileplume,G,2,,3,,"AP, HD","To attempt to heal damaged G pokemon each turn, which I've already witnessed the bot do correctly. Its attack is too valuable to keep it confined to the bench though, though it should be considered a one (or two) and done that can deal very high potential damage when fighting. Likes decks with a Full Heal, since it can self-confuse",,TRUE,,,,
base2-16,Wigglytuff,C,1,n,3,,"HD, SL","To have many allies on the bench. Do The Wave scales in damage with bench pokemon numbers. At a full bench Wigglytuff punches above its weight, becoming a Stage 1 with the stopping power and survivability of a Stage 2. Lullaby should only be used when Do The Wave can't be, and this card doesn't like being put in a position where it has to use it.",,TRUE,,,,
base2-17,Clefable NH,C,1,n,2,,HD,Same as holo variant,,TRUE,,,,
base2-18,Electrode B2 NH,E,1,n,1.5,,BD,Same as holo variant,,TRUE,,,,
base2-19,Flareon NH,R,1,n,2,,,Same as holo variant,,TRUE,,,,
base2-2,Electrode B2,E,1,n,1.5,,BD,"Many pokemon on the opponent's bench that are the same type as their active pokemon (as long as not colorless). Chain Lightning's bench damage potential should be a factor the bot considers when promoting this card to active. Other than this, I think the bot will handle fine.",,TRUE,,,,
base2-20,Jolteon NH,E,1,n,2,,,Same as holo variant,,TRUE,,,,
base2-21,Kangaskhan NH,C,b,n,1.5,t,BG,Same as holo variant,,TRUE,,,,
base2-22,Mr. Mime NH,P,b,n,1,a,WP,Same as holo variant,,TRUE,,,,
base2-23,Nidoqueen NH,G,2,,2,,,Same as holo variant,,TRUE,,,,
base2-24,Pidgeot NH,C,2,,3,,PC,Same as holo variant,,TRUE,,,,
base2-25,Pinsir NH,G,b,n,1,,SL,Same as holo variant,,TRUE,,,,
base2-26,Scyther NH,G,b,n,,f,,Same as holo variant,,TRUE,,,,
base2-27,Snorlax NH,C,b,n,1,t,WP,Same as holo variant,,TRUE,,,,
base2-28,Vaporeon NH,W,1,n,2,,,Same as holo variant,,TRUE,,,,
base2-29,Venomoth NH,G,1,n,2,,SL,Same as holo variant,,TRUE,,,,
base2-3,Flareon,R,1,n,2,,,"Needs an Energy Funnel for Flamethrower but can do large damage with it. Quick attack follows the same logic as Vaporeon's move of the same name, including deck composition options",,TRUE,,,,
base2-30,Victreebel NH,G,2,,2,,"SL, PC",Same as holo variant,,TRUE,,,,
base2-31,Vileplume NH,G,2,,3,,"AP, HD",Same as holo variant,,TRUE,,,,
base2-32,Wigglytuff NH,C,1,n,3,,"HD, SL",Same as holo variant,,TRUE,,,,
base2-33,Butterfree,G,2,,2.5,,"PC, AP","To move dangerous pokemon away with Whirlwind, while Mega Drain is used as the primary. Always wants Mega Drain powered up and only uses Whirlwind while powering, or when a dangerous pokemon needs to be moved away in a situation where it can't just be brought back right away on the next turn (as in none of the potential replacements are able to retreat). Often evolves in the active spot so this is sometimes a legitimate scenario. Mega Drain's healing should be factored into the bot's calculations",,TRUE,,,,
base2-34,Dodrio,C,1,n,1,,,"To stay in when damaged and use Rage, which relies on Damage Scaling. Its pokemon power makes it prefer the bench as it's more useful there, but it has zero retreat cost so it can be sent in and pulled out at-will. Its pokemon power can be useful but probably doesn't have enough use-cases to train the bot on it. Its current behavior will probably manage it okay enough",,TRUE,,,,
base2-35,Exeggutor,G,1,n,2,,"HD, PC","To Over-Attach for Big Eggsplosion by as many energies as it can (unless about to die and the bot weighs a bench powerup's future benefit higher than an additional coin flip for Big Eggsplosion). It wants to be used in a Grass OR Psychic deck, and Teleport can't be used at all in a pure-grass one (but it shouldn't be avoided in grass decks for that reason). Teleport is rarely beneficial, as it's usually better to try for high damage with Big Eggsplosion even if it risks death on the next turn. Teleport becomes a benefit when Big Eggsplosion's damage potential isn't very high, as long as you weren't planning to use Exeggutor as a staller",,TRUE,,,,
base2-36,Fearow,C,1,n,1,,WP,"Classic Attack Choice in the same shape as Dewgong, except rolling for damage prevention instead of a status lock. Our bot probably handles it fine",,TRUE,,,,
